20
(0, 0, 0) (0, 0, 1) (0, 0)
(1, 0.841471, 0) (0, 1, 0) (0, 0)
(2, 0.909297, 0) (0, 1, 0) (0, 0)
(3, 0.14112, 0) (1, 0, 0) (0, 0)
(4, -0.756802, 0) (1, 0, 0) (0, 0)
(5, -0.958924, 0) (1, 0, 0) (0, 0)
(6, -0.279415, 0) (0, 1, 0) (0, 0)
(7, 0.656987, 0) (0, 1, 0) (0, 0)
(8, 0.989358, 0) (0, 1, 0) (0, 0)
(9, 0.412118, 0) (1, 0, 0) (0, 0)
(10, -0.544021, 0) (1, 0, 0) (0, 0)
(11, -0.99999, 0) (1, 0, 0) (0, 0)
(12, -0.536573, 0) (0, 1, 0) (0, 0)
(13, 0.420167, 0) (0, 1, 0) (0, 0)
(14, 0.990607, 0) (0, 1, 0) (0, 0)
(15, 0.650288, 0) (1, 0, 0) (0, 0)
(16, -0.287903, 0) (1, 0, 0) (0, 0)
(17, -0.961397, 0) (1, 0, 0) (0, 0)
(18, -0.750987, 0) (0, 1, 0) (0, 0)
(19, 0.149877, 0) (0, 1, 0) (0, 0)
